"","V1","V2","V3","V4","V5"
"1",0,1,1,0,1
"2",1,0,0,0,0
"3",1,2,0,0,0
"4",0,0,0,1,2
"5",1,2,0,0,0
"6",0,1,0,1,1
"7",1,0,0,0,0
"8",1,0,2,0,0
"9",1,0,0,0,0
"10",0,2,0,0,0
"11",1,1,2,1,2
"12",1,0,0,0,0
"13",1,2,2,2,0
"14",1,2,0,2,2
"15",1,2,0,0,0
"16",1,0,1,1,1
"17",1,0,0,1,1
"18",1,1,1,1,1
"19",1,1,1,1,0
"20",1,1,1,1,0
"21",0,2,2,0,0
"22",1,0,2,0,0
"23",1,0,2,0,2
"24",0,0,2,0,0
"25",0,1,0,0,0
"26",0,1,1,0,2
"27",0,1,0,2,2
"28",0,1,1,0,0
"29",0,1,0,0,0
"30",0,1,0,1,2
"31",0,0,2,1,0
"32",0,1,0,0,0
"33",0,1,1,2,2
"34",0,0,2,2,0
"35",0,1,0,2,0
"36",0,1,1,0,0
"37",0,1,2,1,1
"38",0,0,2,0,2
"39",0,0,0,2,2
"40",0,0,1,1,2
"41",0,0,1,1,0
"42",0,0,1,2,0
"43",0,0,0,2,0
"44",0,0,1,1,2
"45",0,0,1,0,2
"46",0,0,1,1,0
"47",0,0,1,1,0
"48",0,0,1,2,0
"49",0,0,1,1,0
"50",0,0,1,2,0
"51",0,0,1,1,2
"52",0,0,1,0,2
"53",0,0,1,2,2
"54",0,0,1,1,0
"55",0,0,1,0,0
"56",0,0,1,1,1
"57",0,0,1,1,2
"58",0,0,1,0,0
"59",0,0,0,1,1
"60",0,0,0,1,0
"61",0,0,0,1,0
"62",0,0,0,1,0
"63",0,0,0,1,2
"64",0,0,0,1,0
"65",0,0,0,1,2
"66",0,0,0,1,1
"67",0,0,0,1,1
"68",0,0,0,1,0
"69",0,0,0,1,1
"70",0,0,0,1,0
"71",0,0,0,1,0
"72",0,0,0,1,1
"73",0,0,0,1,0
"74",0,0,0,1,0
"75",0,0,0,0,2
"76",0,0,0,1,0
"77",0,0,0,0,1
"78",0,0,0,1,0
"79",0,0,0,1,0
"80",0,0,0,1,0
"81",0,0,0,0,1
"82",0,0,0,0,1
"83",0,0,0,0,1
"84",0,0,0,0,1
"85",0,0,0,0,1
"86",0,0,0,0,1
"87",0,0,0,0,1
"88",0,0,0,0,1
"89",0,0,0,0,1
"90",0,0,0,0,1
"91",0,0,0,0,1
"92",0,0,2,2,0
"93",2,2,0,2,2
"94",2,0,2,0,0
"95",0,1,0,0,0
"96",2,2,2,2,1
"97",2,2,2,0,2
"98",2,0,0,0,0
"99",2,2,0,0,0
"100",2,2,0,2,0
"101",2,2,0,0,0
"102",2,0,0,2,0
"103",2,2,0,2,2
"104",0,2,1,1,1
"105",2,2,2,2,0
"106",2,0,2,0,2
"107",2,0,0,0,0
"108",2,0,0,2,0
"109",2,0,2,0,2
"110",2,0,0,0,0
"111",0,0,0,1,1
"112",0,2,0,1,2
"113",0,2,2,0,0
"114",0,2,0,2,0
"115",0,2,2,2,2
"116",0,2,0,0,0
"117",0,2,0,0,0
"118",0,2,2,0,0
"119",0,2,1,0,2
"120",0,2,0,0,0
"121",0,2,2,2,0
"122",0,0,2,2,0
"123",0,0,2,0,0
"124",0,2,0,0,0
"125",0,2,0,2,0
"126",0,2,0,0,0
"127",0,2,2,2,2
"128",0,0,2,2,0
"129",0,0,2,2,2
"130",0,0,0,0,2
"131",0,0,2,2,2
"132",0,0,2,0,0
"133",0,0,0,1,0
"134",0,0,2,2,2
"135",0,0,0,2,2
"136",0,0,2,1,2
"137",0,0,2,2,1
"138",0,0,0,1,2
"139",0,0,0,2,0
"140",0,0,2,2,0
"141",0,0,0,0,2
"142",0,0,2,2,2
"143",0,0,2,0,0
"144",0,0,0,2,2
"145",0,0,0,0,2
"146",0,0,0,2,0
"147",0,0,0,2,0
"148",0,0,0,0,2
"149",0,0,0,2,0
"150",0,0,0,2,2
"151",0,0,0,2,2
"152",0,0,0,2,2
"153",0,0,0,2,2
"154",0,0,0,2,0
"155",0,0,0,2,0
"156",0,0,0,2,0
"157",0,0,0,2,2
"158",0,0,0,2,0
"159",0,0,0,2,0
"160",0,0,0,2,0
"161",0,0,0,2,0
"162",0,0,0,2,0
"163",0,0,0,0,2
"164",0,0,0,2,2
"165",0,0,0,2,2
"166",0,0,0,2,0
"167",0,0,0,2,2
"168",0,0,0,2,2
"169",0,0,0,0,2
"170",0,0,0,0,2
"171",0,0,0,0,2
"172",0,0,0,0,2
"173",0,0,0,0,2
"174",0,0,0,0,2
"175",0,0,0,0,2
"176",0,0,0,0,2
"177",0,0,0,0,2
"178",0,0,0,0,2
"179",0,0,0,0,2
"180",0,0,0,0,2
"181",0,0,0,0,2
